Longitude,Latitude
34.61106,0.02229
34.61383,0.02229
37.55135,-0.47562
37.55135,-0.47562
37.60541,-2.98667
37.29768,0.16733
37.29853,0.16636
37.11339,-0.78159
37.18247,-1.07519
37.30395,-0.48138
37.69082,-0.38493
36.3652,-0.23677
37.72258,-0.48795
36.69622,-1.42018
36.68829,-1.42943
34.47517,-1.23769
34.47517,-1.23769
34.05065,0.17515
34.05184,0.17535
35.17145,-0.35853
35.28595,-0.3682
35.28595,-0.3682
35.17145,-0.35853
37.76075,-0.29354
37.553,-0.36348
37.553,-0.36348
36.87155,-1.2729
37.71974,-0.32797
37.71974,-0.32797
37.71974,-0.32797
36.16655,-0.07457
37.56802,-0.41144
37.46415,-0.74136
37.18624,0.05764
37.18624,0.05764
35.15969,0.15005
36.37341,-0.33696
37.49508,-0.45185
37.49508,-0.45185
36.95077,-0.86034
36.95077,-0.86034
38.06713,-1.46059
37.52881,-0.38224
37.52881,-0.38224
36.79693,-1.06351
36.79693,-1.06351
35.36263,0.63679
35.36263,0.63679
35.36527,0.01228
35.19373,0.15594
35.65377,3.43066
37.57214,2.50317
37.68988,-0.46705
37.88067,-0.10038
37.12129,-0.89299
37.45153,-0.76021
37.45153,-0.76021
37.44843,-0.40467
37.44843,-0.40467
37.61096,-0.42636
37.61096,-0.42636
37.60061,-0.39399
37.90401,0.32718
37.48624,-1.65516
37.48624,-1.64516
37.63787,-0.43087
37.63787,-0.43087
37.69726,-0.44587
37.69726,-0.44587
37.48757,-0.37823
37.48757,-0.37823
37.30329,-0.45312
37.30329,-0.45312
37.53849,-0.52275
37.46888,-0.45054
37.30266,-0.55054
37.47524,-0.43345
37.47524,-0.43345
36.73811,-1.20619
36.7379,-1.20382
37.39108,-0.80452
38.18363,-2.52773
35.10692,0.38689
37.40371,-1.55916
35.11271,1.12222
35.75559,0.13477
36.70023,-1.19808
36.70023,-1.19808
37.46089,-0.4544
37.46089,-0.4544
37.46089,-0.4544
38.00747,-1.40159
37.53724,-0.5172
37.58675,-1.83182
37.14965,-0.59726
34.64019,0.42203
35.07412,0.15006
35.07412,0.15006
36.0441,1.96012
37.65008,-0.42144
37.65008,-0.42144
37.121,-0.93284
37.41807,-0.83546
37.41807,-0.83546
37.4968,-0.83159
37.87985,2.2027
35.2658,-0.00742
34.43844,0.23126
36.6218,-0.99053
40.03955,-3.25821
37.08855,-0.18189
36.35685,-0.24936
36.18963,-0.03953
37.31717,-0.45847
34.41749,0.02045
37.64854,-0.50515
36.2842,0.46813
37.50965,-0.47133
37.50965,-0.47133
37.22882,-1.90586
37.47932,-0.43835
37.33225,-1.09764
37.95918,-1.24998
37.40558,-0.81826
37.81407,-0.45676
37.81407,-0.45676
36.04968,-0.29402
37.16618,0.39953
36.36074,0.03375
37.7254,1.42021
37.93531,2.31569
37.72768,-2.128
36.78151,-1.10715
37.61958,-0.4436
37.61968,-0.44467
37.10481,0.08247
36.68268,-1.18387
36.37289,-0.2676
36.65972,-1.36781
37.60708,0.28396
37.60708,0.28396
37.5915,-0.52455
37.82356,-0.09594
37.82356,-0.09594
36.83279,-1.06369
36.8319,-1.0644
35.8663,-0.17372
36.37891,-0.19502
37.86996,-0.16336
36.93492,-0.86644
35.21666,0.59145
37.36619,-1.04686
35.16404,0.96839
34.23683,0.3221
35.11512,0.39764
35.11512,0.39764
35.29741,0.214
37.64374,-0.46892
36.64018,-1.11037
36.64018,-1.11037
35.10355,0.20586
35.90757,0.05919
36.86485,-0.94583
36.86485,-0.94583
37.90609,-2.09452
35.23562,0.87143
36.50599,-0.25674
38.01229,-1.36321
38.01229,-1.36321
36.10886,-0.16082
37.49555,-0.42995
37.49555,-0.42995
34.76537,0.88869
37.22658,-0.53024
